audience_id,age,gender,frequency_segment,distinct networks,distinct programmes,seconds_streamed
7T94RztDvs2nA5sjPnRU8rCiFUvu6NpT7g1uNLz3aNM,35+,male,E. monthly,3,5,132
9FDyMugWGQ9w4_Ip8f0pvuD7ZYt9WpaHqg57oiM6Z8w,35+,female,C. 1-2 days per week,2,8,18384
Awjwt8m9e-TcHj_RgjoO_EiDm_vLneNtoFZnFGzEGpg,35+,male,E. monthly,2,2,1213
0wy2lrfTAphBMcJG6dLQBaUCye95Idjl5IZS-sMDGWA,16-34,female,F. less than monthly,2,2,364
2SKiAFx6tpzCEG2FYyhM1uDTR5U0qAF7W10_n_sou0E,16-34,female,F. less than monthly,1,1,2165
49lQS0k6iUTgaaf7XucTta0rd__TUoKCseb5ThcLqqs,35+,male,E. monthly,2,4,2445
5ix0oklSIPZZ2AhoXMBSShmzA68h6SLJDXYAdC85Txo,35+,female,D. fortnightly,2,26,37649
74Hh4XBT5NZasVrSJQGlicGNegrzrmAUadyRuL9EZHM,35+,male,A. daily (5+ days per week),8,53,145570
8VLFA8JKCtyzS4IcUVxYQWJTESku4ipqh69jwNGO_4g,35+,female,B. 2-5 days per week,1,5,59660
0qwyaxSPjYkGriD_kzE65VV9mjzU7y8VF1rYeby7hzU,16-34,prefer not to say,B. 2-5 days per week,5,7,49412
2vc77nm1Iixo_Zz2cjc-6_JGVajX7PHnpX_UZ5gTW6Q,35+,prefer not to say,D. fortnightly,2,2,2756
4UDpDO2DT_L0yJzrLz61_ppkufTlWOdgcG0z74hsSI8,35+,female,B. 2-5 days per week,11,79,223676
6-HSyN2fqeyH5a7gLpUOzPodpUKsZRxSuujToNK3Pgw,16-34,male,F. less than monthly,1,1,1352
7W6d790OpoKUkN1tO1dObxwJMKZ1jAXdeqlOlzw4DUI,35+,male,D. fortnightly,3,3,46
9TkbnN2H9F1J0xuOblLWcYrCn1fvfyCvU6k5stpfOR0,35+,male,D. fortnightly,2,4,5100
AsBgAwtKk9e0UbqxcSN01kkReZaKjmdedf1OmX92Ank,35+,female,A. daily (5+ days per week),5,44,141562
1H_Mabjr5Ocf77Re3PxplLlN_VMDZsuji_zQr0D7X6g,,,E. monthly,1,1,115
2rjB7FFts8CMnN8jRyUXmDGalH1zw9G3u7nTsWgyDS4,16-34,female,A. daily (5+ days per week),1,2,598
4GROZbnOCsUrgV7rfT5mn3QZvQr7tp1S-QUKwHiiQUI,35+,female,D. fortnightly,2,3,5572
5vaVCUFbkyJ5wy3EDSuuB9HDxgneM6ZCJGXrEHM5T40,16-34,male,E. monthly,1,1,2518
7ONgf0GNvOsQpvBjs4bJU4IDewzBx6TbBdT5D2qe3Do,35+,male,D. fortnightly,2,4,2059
0qPvboJ1AgLpTCABR9KggVA5DsqqN79GD0_mkMvjw9s,35+,,A. daily (5+ days per week),5,49,450227
2mqB2B0JHfO4WCduujHOWTAYpYAdJsTyk_9PCa8v5bk,,,B. 2-5 days per week,8,106,459230
4St5WXcQTrDOoiuE_B2-NEzcrqwhA5XuB-y-Gf7bQ-E,35+,,D. fortnightly,2,2,539
6FRzB21VjlM6yzyNf515uDlgK5xBb3VgMXHfR_EbwiA,35+,,B. 2-5 days per week,1,3,33696
7rSSTpCR14m3gPvPGXnB-YIEhSpH7tnfU8NYoWdzWF8,16-34,male,F. less than monthly,1,2,1802
9bIDzcd0naYi0CdxiK5Rj-vO74SIvPY29iGbJuIVJr0,,,E. monthly,1,1,1198
BDdS5X3NKQzcRa5Vqu1JUtHltS_XohQSp3RAO7IMpN0,35+,female,B. 2-5 days per week,1,12,39716
1IXwawRKYL58U7CVcgSDYiODrQD3iR3IV8b8KSnT9Eo,35+,male,B. 2-5 days per week,1,6,10624
2wGFspg11DjkLeS4X9_u5CRQFDthoEP_R8UCItkNRvo,35+,male,F. less than monthly,1,1,1382
4DeZg76YPxhQ3w6FQKvhWT7IEfewXi4fGTL8zksOns8,35+,male,D. fortnightly,1,1,2844
5_jqwMzIX6YBZQChy_HZG2i3hah7CJxeFniEPCJUCV0,35+,male,B. 2-5 days per week,6,11,72315
7M6OTjciO6ILlrgP5Iro2QK2Na1huI1F6XdbgLjAEY8,35+,female,A. daily (5+ days per week),3,16,368019
9LkZFKrIZ4Bl24uXAKMjrO_bSraDoHcuR8UvBBRIBrA,35+,male,B. 2-5 days per week,1,1,47027
Ap25mS3AaDvACRTeYbRPF5_QuSdS1Fu824WFWj0lJcQ,35+,male,F. less than monthly,1,4,26229
17wFPv0m000yCrT6ry4BfVNRgZ6OO59oLEAViCZJm58,,,D. fortnightly,1,6,77028
2lxPoh09FjZiKSJb-zeoEXXWiYBabjR5sH3RfbXcp2Q,35+,prefer not to say,F. less than monthly,1,1,829
4HnKc2c3363lmlw535TkAOvJnrYRdQyDLJzCIAhURiM,35+,male,F. less than monthly,1,1,4189
67ObJoJqqagRF1eEsD0vDpWI8RICyU5BP8cWIPv308o,35+,male,F. less than monthly,1,1,302
83QB6ZPWLSOjCDfn8ZMvquAFR4v8TsHDwFNVUnjut5c,35+,male,F. less than monthly,1,1,10
9e8A9snbgt7klbplatWXfXK-qpTTEKrqLZdI7ACDI9A,35+,male,D. fortnightly,2,9,79050
AxsoWI1BPcAZvHfx3xrNvsR0JP4SXR6aFCoT2bVlDnw,35+,female,E. monthly,2,3,22439
16GZNb2bhNIaHdOh9SDptXOOMVvSch5BsypcgjHtlpY,,,F. less than monthly,1,1,889
2ePd8jmvdQGjvfOJNzYp9-t-Zd7mbeIRiiMZtkzHY1I,35+,male,D. fortnightly,1,1,2436
4Em0k8UN7ZsI105lGdIFBLI3lV7Bej6UFNO9phBbz0I,16-34,male,E. monthly,1,4,7556
66JmCIrUDmp4VnC0cJDz_3YedFGMjHmhF82uHDhLocE,35+,prefer not to say,E. monthly,2,10,77278
7N3pVNyxPWUStvbt_tP8frDxBENGvTJotwvXb7rFlms,35+,male,C. 1-2 days per week,2,3,1052
8tEJRetd6pyrxb5tX4G0NJ240H1fNjOh9oq4Gc_gfdQ,35+,prefer not to say,E. monthly,1,1,3885
AI9RJhr-l7k2Q90Hdqd3dmk3BClbtII34tDEe6xnbpo,35+,male,F. less than monthly,1,1,821
0pRyEpfilm2zcTpBCoLLgC2G4_vv0ObvRJDSSrOOIDI,35+,male,C. 1-2 days per week,5,5,407
2c2U_gAC55Aa5sLA7RHX8qiJE2OVHbIsa71gi9MoSo8,35+,male,D. fortnightly,3,7,11594
4WQQi8QaYSXymZOOHGQGLRqFxXf5OTt6_Ii3D4GCbrU,35+,female,B. 2-5 days per week,2,6,17849
5yl5jczP9GkU14LxggWpWRalN-mfOaTXtMKhl8vs36Q,35+,female,F. less than monthly,1,1,805
8-BbMgR08IYVrMzI5ESm5qkFUmoeb7fjIn4txR2jyvE,35+,male,D. fortnightly,1,1,52
9S7S0Clau139raHqwnYmx5FAq02l20QeCvxU4CULtL4,,,C. 1-2 days per week,4,6,17626
BNDMJBk10YyW_gNOGacZdwlxYtMrppfWYh32oyt1wvw,35+,female,B. 2-5 days per week,1,4,620675
0zBYi7XntgNa7fA-JrnJKQm4phdz-0vx5go8RTvHjIE,,,C. 1-2 days per week,3,6,16948
2ROboZ_v7ZL-_cEvrWPQc7njYBwWOuG3tLk3llLAa-Q,16-34,female,E. monthly,1,2,988
4ANfTyZyV1VShz34ATly95PaK1DaDssvasB8k7VRdPc,,,F. less than monthly,1,1,4854
5vuAgcW5JvEl2uINV3vsMrQwFIHrFl8yXfmC-MI-Y18,16-34,male,F. less than monthly,1,1,189
7_3DnqAKuSqzSWRTCcW37LYwkV4B4pYMBjxKRmk_CqE,35+,prefer not to say,F. less than monthly,1,1,3278
8q-yEDigZy9A55DqfuxV5GLCn-Hk1sIx20ftgUQ7SSo,35+,prefer not to say,F. less than monthly,2,2,154
AOjLlUfz1hJQPW9na4DfUWLSjCTlDtPgvJ2c03IFxBY,35+,female,B. 2-5 days per week,1,4,12683
1-gZ8Wzf63fx5rIYdF98zYi3fmcjKNhnUFpN37J1J0M,,,B. 2-5 days per week,3,13,47732
2fcrsCbTwVr9kAsUNQ3THtxCMLyCzLxz0QIzF_BbBD4,35+,male,C. 1-2 days per week,4,7,5615
4OQcZzp7ndD5hpvKLDo-Afv9DZgEJMHXgLp9GBjbRLU,16-34,male,F. less than monthly,1,1,2977
5sHVIWwKX5a3YoQ1wSAzgqPKDvZfqDG2b6vY2XQzFtA,35+,male,F. less than monthly,1,2,11880
7iEBzodriJWqli3BNlisc5wNUaGm3Jp9zzXnffTe-Mo,35+,male,D. fortnightly,5,6,218
9KlsKyYsQdOmznBLIu6h3hPxYlnax1XG_tyRQshm7yM,16-34,male,F. less than monthly,1,1,39
AbdOdCJ1FTpCUX9kLvVwVkYf-AkZnZ9pjRG5Ln7YvJw,35+,male,C. 1-2 days per week,2,5,9471
CEJ6vPbix6X0CuBAhEPt7NBGvTBgcdCHAmu8dzofJSg,35+,male,B. 2-5 days per week,5,18,27856
DmVJk6GdxuNzb9sKJ4SeghfaCd6n8badp2e9vaadtQE,35+,male,D. fortnightly,1,2,11251
1WcsChx7qX4EoGyiwnmj_mIGDNcZolOVzUNyn7nDUX8,35+,male,B. 2-5 days per week,4,7,11063
3Ud0ksr0ZYedDI1KZl2pG4kS45pWah9UK2EkMJtAKpw,35+,male,B. 2-5 days per week,4,14,68498
5wS9Oa_NiTLACVoIAdU5UAKMSpSdUcwYJaAQppVRciY,,,B. 2-5 days per week,1,3,4276
803GiVg-x5-KdHDmsfpgcK2hZPi7PrndMqr81FCo9to,35+,female,C. 1-2 days per week,3,8,18587
AaPOwHXhrSrk_Gmcex9gqWVLz54gtRj6YMvp3dGMlfc,35+,female,B. 2-5 days per week,5,29,331708
ColBUJeI5PE-ounVP525ftU-kqQqhMujE0vf6NIAUtk,35+,male,F. less than monthly,1,1,41
Eui7dMe-d3vhotfrkDsZrN7-SNdDfWDckU8uX67hoB0,35+,male,E. monthly,2,8,8341
HFO0luPK65sWHFsTb6u530S1MNzQyOEHrLtFMSl3aEQ,35+,female,B. 2-5 days per week,1,11,24972
JnZdXlEYGK2rbYmU7mH4KB7k_7E8hx_0J3hirg8Sju8,,,B. 2-5 days per week,2,6,13444
0l739Upy0_gSJMjPqVqHGzpxaUj0wFQoMmKUPdj5K9s,35+,prefer not to say,F. less than monthly,1,1,1902
3NofqX2iFW1ucKw9hH5Qo7PZ-Jevdr6THOLd5im33lA,35+,female,E. monthly,1,1,2477
5ZZxGIWXbVekXbOrjEQyhziKuFYsud5wBArm_5Tv7Nk,35+,prefer not to say,F. less than monthly,1,1,298
8AhAbmqrJMO4BcjiXDO885F6yRqjdaxqCns41IQZOJQ,35+,female,D. fortnightly,1,2,13950
0aqX2qAN5Occ1UrxuFsnvJmtzrBAjPdsTPYPiXdXkfs,35+,female,E. monthly,1,1,14
2WjIK58YvjqCI3KC4asISRSTCsOatBcPCWYqBP4zjJM,,,C. 1-2 days per week,4,9,21596
4W2a1hpN06VIJdbjeVtFAL2rvoID55nt7YTTTr02Dv8,,,F. less than monthly,1,1,1140
6G6IwyYJSOeF1oIQXH2T9bVRqkmzM7pTxxEZrn3prW0,,,D. fortnightly,1,3,9454
84gUfHgNWmECy7dmEg-_mbPx5kigqLJdxpQS3JTaPpg,16-34,male,E. monthly,1,8,48926
0cDqhWD4YW3x6Z-PfWFtBz2e29JM1Dy_tH9IDT42rsw,35+,male,F. less than monthly,1,1,1680
2OH9wDSVKwcAryVckYMfbaZ9DKuBMCqHinnqpavaskQ,,,E. monthly,2,2,665
4MQ4xEXwGsEOL7hbHlLYGdVvTircd47ylEeeTgP5vnM,,,C. 1-2 days per week,4,5,9232
5nLK5DjZeOQTpT_bLcRVOhC5HFrfmYoBrQIwF2bIP8I,35+,male,B. 2-5 days per week,1,7,172823
7ODurHIT6teIOu5eCp-K_W3201-a1Dl8pf-JaBBuERs,35+,male,C. 1-2 days per week,1,1,1582
968Byu5td42cZGT27tpZS6inetaetHfT2yY6ipEfDj0,35+,female,D. fortnightly,2,3,8090
AwV8ISO0CW3uIJGi6IdWx3r42P4vKHGvxWPBtFl1JgM,35+,male,B. 2-5 days per week,4,6,29633
0kq8TLLO4oqZtg1s05JAK6ge95qFGEQugxNeDjpT6Vs,35+,male,B. 2-5 days per week,3,3,84629
2VbmpBXs8bGzVPPZ2LxZTUonSR_PCA-31j7zqiDnMPY,35+,male,C. 1-2 days per week,6,19,112582
4PdsHr-vfZTZ8t3EC_xgM0MEQzKtpUYzkZON0ycz19Q,35+,,B. 2-5 days per week,11,26,159095
6hYd1qTDUwg8Us-kz5leQtHTF5suScKI2NwF9EN_SOA,35+,male,B. 2-5 days per week,6,37,295979
8NRi5F65Ocd6WDdY4X54yLVwOJvim1DvGGrqeSWZCTQ,35+,male,B. 2-5 days per week,1,10,48877
0l2RBTFUA5D9wG_htaAQDOuHTlqsFvzD2TRkBNHrVUU,35+,female,C. 1-2 days per week,1,1,18861
2SmeY3415aUA4kAM29h9UZ5YgLwC07q_uqGklzV-97k,35+,male,F. less than monthly,2,2,4125
3oSUbK3ZpWGQlzharn6wlg0IRZ5VKxLED3R16qaRo_M,35+,male,F. less than monthly,1,1,61
5WAUZIYumXU1L_wDlTgjRU71CC_4A4FCOnDnOQARha4,16-34,female,D. fortnightly,3,4,2506
7QYEIBI_tUKbWeyeGmamMJSSRkqOEZz2kmZ9phV6-WQ,35+,female,D. fortnightly,2,2,2996
97Iy6jUOZPEF2PyoNN9xC_LGg_x85Iz5kXbOUibbpko,16-34,female,D. fortnightly,1,3,860
AoNVusNnVP6X8t6N4aSkn__GPGi6Ud7xmp0rDAAt7Jw,35+,male,F. less than monthly,1,1,5385
0pDLce0QaTdD2rd2EY3tuqAfunuCYwiCy18EkNtCMzM,,,B. 2-5 days per week,1,11,50488
2PVOdBND1tPOfsIgJo4038afVV1_FKSoBcBbTfQzCTM,35+,male,E. monthly,2,3,3481
44VNbPyiTM3tGDV9g7TMBc_QoXUNBynWmlk_V0YTEgQ,35+,,E. monthly,1,2,5878
5gopV_ZbeHx-CjJoaLhj8Wzc-p3zz_Ny-Jn5UTaUIwU,,,C. 1-2 days per week,2,3,6274
70W2gUu1CD3O0hO6Bn0b-DOljA-9NDz1FgASO2FEYKg,,male,B. 2-5 days per week,7,35,91570
8SGLLUBN6KwL3wW3ViUvSlabIY-u_qP0Ur5mRki8RyA,35+,male,F. less than monthly,2,2,7575
0p826eVE7iW8HSzYALGESCzL_Y7-Zcu3MSjYIZSAFX0,35+,male,B. 2-5 days per week,2,21,212234
2tK9HZ3E93Aagcb1a7j6kLUp0lueN-kO14GWIyNFykM,35+,female,F. less than monthly,1,1,78
4QfdBTO94HpxSNjZO-5g_3fkWYJ2EULXYvCErbWl1SE,35+,female,B. 2-5 days per week,1,48,154498
5vUs6-10F5XOetrSUAgSthqbJ7SgAcB9UQdHwIoSUSg,16-34,male,C. 1-2 days per week,2,5,44180
7TfZN2ynVUXIDcWoQmA695jBuyJJ-QCUGAT0x4ITmWw,16-34,male,C. 1-2 days per week,2,9,187932
9S99F8sVmQD3pB2TjL9ufk7SqEZqTBck6a2qGdc5kTA,35+,male,E. monthly,3,9,7866
Apr-_vR3L90yzuxS0YUP-eq_-B_ZzIkq0dMkSdfOTZw,16-34,female,E. monthly,1,2,3502
1EY1OXWkjuCk-uIk4BGo8ekF7OUJtAWHC9ob8hqsP5o,,,B. 2-5 days per week,2,4,15281
2qFjKtYbMAoJN6_HHKPwrI_QRwMq7_mSHsB-W0R0l0U,35+,male,D. fortnightly,1,1,1120
4C20o3jJR4i9N_ofspx-DQg5q2koVaJoJCNCM7dhdWI,35+,male,F. less than monthly,1,2,174
5tU5ewbOHp8kEIyTP4JnhyyBnK9Zhom8rf9sxhsUK8w,35+,male,D. fortnightly,1,1,2424
7N6RGYGb7LmzVk2oZ2dOrtEJZZqEpaqfk3Ubi4IzNVA,16-34,female,F. less than monthly,1,1,142
0hv-5a5WA-ETCIgn5fKKMVHjWBAP8Tf4aBwT3SgkdbY,35+,,A. daily (5+ days per week),3,11,80218
2g89-1elcV2vrgduN_HDYsBfEllaSeBfZaMMGgX5fgY,35+,female,B. 2-5 days per week,2,11,155206
4QfCHt4qBz-vTQnaT4OwtBQnApK3cEUfqORu3kks4D4,16-34,female,F. less than monthly,1,1,395
647z8CWWFmNiMzuB2zLSz8AhUU0c5Ky_rx1yaavsz-Y,16-34,male,F. less than monthly,1,1,1262
7gHcSNZheiXvokxTh3chtS3rj-EWSMg5sa8ze6w-BgM,35+,,C. 1-2 days per week,4,10,21998
9QxiidzFbUfaPaF4QrGwbWIT3gMRST7TQ6-YxMLN5TI,35+,female,F. less than monthly,2,2,410
BBN5L6z98U1rQ3Wm_KSaiN-qCoC78NkYeq5JbwrvCNs,16-34,male,D. fortnightly,1,2,163
1GOk0qx4eYbi14QG0nrvFtp8YnNxZGSjw0wTn-WIUuY,16-34,female,B. 2-5 days per week,2,10,38702
2t8WQBnDndxNf4y4sh_4rpvYQcoWNNOPB34ThJQeIC4,16-34,male,F. less than monthly,1,2,1897
4BBKD2Jpx9QbmsEIzhEltZJKuLMb72LTayYmc8FAKFk,35+,male,D. fortnightly,5,8,12342
5ZDsr-A-3g4ZzmA3RKeyitC1yhWq1LGBFafiEhO7x5E,35+,male,E. monthly,1,1,34
7I6hq9ysmHtC0nlnjQwJKQSABJkoOjitrkN8SVBe-Do,16-34,,C. 1-2 days per week,6,14,34695
9D3BPq6rJNQ9aAc5bG7X_LD4R8MLGOoNKUaUV0rOV08,35+,male,F. less than monthly,1,1,1580
AhSmpgXGpZTC5LUoz2LUZbpwk4FcT_V8BA2SPh4-Ads,16-34,male,F. less than monthly,1,2,114
14sr5vtBhDkpu3Oy8D0JqHLhrgf-fg_z7u3BTPjPFd0,,male,B. 2-5 days per week,3,54,164080
2jgOYcKbEzZ9GQWOHVUC-28ah3phdRMwkwSRxfzQNPM,35+,female,A. daily (5+ days per week),2,9,48547
4GFpM9ytR2O7InQFwlKjKBctVy1P5g9CYOWupH9MFns,35+,,C. 1-2 days per week,2,3,31659
64IvEJZy-8HlxG3QYkrP90gjWmZ2ESugPIIkogvCxp8,35+,female,C. 1-2 days per week,1,1,16955
7viU2IL0pM10cGXshAbXWhhyhJPMjZxq34iKJydM2Ew,35+,female,B. 2-5 days per week,1,5,3512
9adUFzUK0ujQ4D8tvfqWjOpy1GV2NCbIVRtuC_zyVsM,35+,male,F. less than monthly,1,1,270
AtMJctZDhFhBct1aTOR2mdP_yg4QdTb8fI0gNP9OQM8,35+,male,A. daily (5+ days per week),12,55,242484
14UNCaG0yOVhN1Tbs3HUZcE9H2-248f725eF1bq---Y,,,D. fortnightly,1,4,26067
2__pear64foLnjGDUF89fbWUBPx5Geh1Y4akdU1Cvbg,35+,male,D. fortnightly,2,4,11038
4DH798RXohMo6swzHE0p4dMjIQENoPuJeL6Jryxsd24,16-34,female,C. 1-2 days per week,2,7,8935
63tbfE5f4y81dbGPjPyMFyQpIaFseTN_4-ggt5bE9KI,35+,male,F. less than monthly,1,4,2429
7HlPEVnUvJBLQnl4qie30K5Qp8pxniYsSvGGLMGiJ7k,35+,female,B. 2-5 days per week,3,12,155338
8r2lUA18xkjeACu8FRQWcZaLr7QLg9GgklEKHnQYRYc,35+,male,B. 2-5 days per week,2,6,55483
AFHIX3xyth0FL5jndCCZ5gvcYlgtYwtZR08wBCZ6qhY,,,F. less than monthly,1,1,183
0lEUAwlL4bf046V1e-9CWAuCnFnBZS1uGX2SrkrRE54,35+,female,B. 2-5 days per week,1,9,112627
2_l6IX-wAL2BHBivhwIfRAC_AsEUZMW37i0VHlYZp8Q,35+,female,F. less than monthly,1,1,12
4Tu9TnA8VZkiLp2vX9t6PM7Ak1DgLX-yYW3y8VB2WMw,,,B. 2-5 days per week,8,32,135731
5usq2uD4cnrgt6TubkOTCMjeG4scBeomxk_w65mnp5o,,,B. 2-5 days per week,2,4,12247
7xECAUZOc2qxMT1RxYO8hRQzkZp-2q0vb0LRY37ABtc,35+,female,C. 1-2 days per week,1,1,1425
9KwBLSqocAwUsNs51IBJ2k1NGxG-31hYSDSuifLOOO0,,,B. 2-5 days per week,5,19,129207
BKpH0ajShxWGnJPvtPlAGT3V9k9N1HIb3INgZI5G3js,35+,male,B. 2-5 days per week,6,14,12144
0r4BiFEL7_-__Rat6kGtuY90BD38w0QxCa4ivoeDIQw,35+,male,C. 1-2 days per week,3,8,12147
2NCey0WnZ0ht95kSjSw9fKrvS-pZrAj7b4qY-diS-3U,16-34,female,D. fortnightly,1,2,5077
47p-_q47pOZUy62YkTrpZMPz1r9BSIWme_w_uiASvFs,35+,male,B. 2-5 days per week,27,81,434538
5n3nfJpAwZnf06DpCu2_DXMPhMUcqvnuV0SbFWWGuao,16-34,male,C. 1-2 days per week,3,11,33545
7QvfYaLii8gAeMAfLsrKLGL4RKHa5nWVQMXFx1OGkl8,16-34,male,F. less than monthly,1,1,17
8n3xyBbIm679toEyShFKRY-iKLVxw0k032oAQsG9UbY,35+,male,E. monthly,1,1,598
AKd1mBQilI_q9MknfhSM6ET0UQnG70TQ6MMH-RXXhpI,,,D. fortnightly,3,5,23559
0yUexHvvmXZZM_2VnXWUa5fmzdN_sHfL7OVDimLJ8BY,35+,male,D. fortnightly,5,6,4044
2YyCHu0A3sS5dtzwI2VC71SgI7Ct3rq-AJ-sE0QB37M,,,F. less than monthly,1,1,1260
4Kky-61pHoR0AlscnUYoM-ZN99ZG5mugWtvnnDOGTDc,35+,,D. fortnightly,1,2,41871
5qeqCPG3B-AyhfDzbp_gLfr0Kd1n6reQ7FessFCBo3Q,35+,other,D. fortnightly,1,1,574
7fnesrNo8zpfU-AesSZ2eygXlC4dJpgO2oqvg0OKlL0,35+,female,E. monthly,1,3,19962
9G4-Fv8ibGcSdQlG4z38UzB9LSVFauCF1kWMv6JY2o0,35+,male,F. less than monthly,1,1,4658
AZ4uIk385H81QcVwHkFdJmpPu85pHr0O2kf0bVsr0m4,35+,,F. less than monthly,1,4,3043
CB21Rasyuw-wHo5gWKqUsxsitGvNy0iDbjysLromnvM,35+,female,B. 2-5 days per week,2,8,28410
Djs2A-Bft0Hu6_PnDbz6OhKlrBg7EnrzHRvnzAIxaRw,,,F. less than monthly,1,1,63
1RWRxeyVwehLxQLAiMZU_s1YSYuhkx42reKqgwp9NmM,,,D. fortnightly,2,2,4941
3QDpIol7O2pTebnoE5NVGFstlVfx3EzWAh4iiEliZRc,16-34,male,D. fortnightly,2,4,6765
5f2nqekfqEVMsC8Rs_3T3l7-mftQoMTgZm4NEaaLg58,16-34,male,B. 2-5 days per week,1,49,546427
7qrchL9fdXEfqmjSkZKHQNM4h4LZHe31ghgagi92s0Y,35+,male,A. daily (5+ days per week),3,11,213104
AXuAJXit4pZaXCItloz8UjS79oWDtfJTq-SG6y4JPiM,16-34,female,E. monthly,1,2,6143
ChkDoWGCqgwoZLNp3oieJnQ2zW29fMH-1Rsg6HTNsTY,35+,male,F. less than monthly,4,7,5686
EncgMzBQ0L94on_B8lENj0FdvKI3SImz1vUN7sWu-eI,16-34,female,D. fortnightly,1,4,87218
H7sUS2Qa2XPRGrPlkKN1hVhzj4TGX9q8kOoGyLIG7s4,35+,female,D. fortnightly,2,12,12568
JknrmchyhRyVVtR_gkOQtCqyKluKLERWZbRjZwnmL4c,35+,female,B. 2-5 days per week,2,9,39930
0lx-63DW0T3Rso3eTR-LSTA6O2LOaLS-hStr7WTAL48,35+,male,A. daily (5+ days per week),5,12,201914
3OYz3K4j69vnzCQ0-h1ahZJFQ7PHp8qqLgh0ssMmdoI,35+,male,B. 2-5 days per week,2,20,105606
5cnkaC0Slj89KrIinWTOM7vvT6PhmE_Cg5aF2-ku5LI,16-34,male,B. 2-5 days per week,2,6,44895
8CuK5aSho06dAUYl_InbhClOgDgHzZmZG9fO1BqDL_Q,16-34,male,D. fortnightly,2,2,5127
0jaGbqE5lHUpqKtpJ_Rm6Fx4FcPWfsl1LVT4c26sgi4,35+,male,B. 2-5 days per week,3,7,75554
2XTkmmKMOT7V3OHYvb9lDbkrYq54-bYVz5uNQG2IXGI,16-34,female,F. less than monthly,1,1,1212
4WmnkD5cV_kesmMyiZnnqSJ0V61ow0Ud5hbhD3Gq4zc,16-34,male,C. 1-2 days per week,1,8,64502
6Gi-xBukDcw2WmV4812mH1aAJ292JiYX8nTyiJm3C3k,35+,prefer not to say,A. daily (5+ days per week),2,8,766165
872_qBjSeCEZ-oJ_glEK2vDZ-pFhiOOC6FK8W0iRl5s,35+,female,F. less than monthly,1,2,834
0eM90T0g3j0jG2pDM17EVd7C_ES_gexqTrE_iMc4U9M,35+,female,C. 1-2 days per week,1,4,92991
